Code,School Name, Level,Grade Span,Calendar,Magnet Programs,School Membership 2012-13,GRD KI,GRD 1,GRD 2,GRD 3,GRD 4,GRD 5,GRD 6,GRD 7,GRD 8,GRD 9,GRD 10,GRD 11,GRD 12,GRD 13,MALE,FEMALE,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Two or More Races,White,% American Indian and Alaska Native,% Asian,% Black or African American,% Hispanic or Latino,% Native Hawaiian and Other Pacific Islander,% Two or More Races,% White,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2011-12,NC ABC Results Performance Recognition 2011-12,"NC ABC Results Growth Recognition
2011-12",Met All AMO Targets,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location within Municipal Corporate Limit ,Number Permanent Learning Spaces,20th Day Actual Membership,Special Needs Program Adjustment,Existing School Building Capacity,Long-Range School Campus Capacity [LRSCC],LRSCC Percent Crowding (inc. Prog. Adjustment) ,Existing Temporary Classrooms,Annual School Campus Capacity [ASCC],Percent in Temporary Classrooms,ASCC Percent Crowding 
439,GREEN HOPE ES,E,KI-5,T,,877,133,160,139,136,159,150,,,,,,,,,444,433,0,320,64,84,0,29,380,0.0%,36.5%,7.3%,9.6%,0.0%,3.3%,43.3%,103,11.7%,42,4.8%,87,9.9%,NO,91.4,Exc,Hgh,No,Western Wake,Bill Fletcher ,Western Area,Jacqueline Ellis,Cary,CARY,38,877,17,609,793,108.3%,9,833,24.8%,105.3%
451,HARRIS CREEK ES,E,KI-5,Y-R,,899,172,157,165,134,138,133,,,,,,,,,452,447,0,20,284,160,0,38,397,0.0%,2.2%,31.6%,17.8%,0.0%,4.2%,44.2%,291,32.4%,30,3.3%,83,9.2%,YES,83.3,Dst,Hgh,Yes,Northeast Wake,Tom Benton,Eastern Area,Danny Barnes,Raleigh,RALEIGH,48,899,(87),"1,009","1,009",97.5%,4,"1,014",9.1%,88.7%
306,HERBERT AKINS RD ES,E,KI-5,Y-R,,845,145,157,160,137,121,125,,,,,,,,,426,419,3,11,137,110,1,52,531,0.4%,1.3%,16.2%,13.0%,0.1%,6.2%,62.8%,241,28.5%,20,2.4%,45,5.3%,NO,81.7,Dst,Hgh,Yes,Southern Wake,Susan Evans,Southern Area,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,51,845,(14),"1,078","1,124",76.1%,0,"1,064",0.0%,79.4%
454,HERITAGE ES,E,KI-5,Y-R,,877,135,148,142,138,149,165,,,,,,,,,443,434,1,18,100,44,0,27,687,0.1%,2.1%,11.4%,5.0%,0.0%,3.1%,78.3%,123,14.0%,19,2.2%,25,2.9%,NO,88.1,Dst,Hgh,No,Northeast Wake,Tom Benton,Northeastern Area,Andre Smith,Wake Forest,WAKE FOREST,37,877,(32),705,797,114.6%,7,834,19.3%,105.2%
443,HIGHCROFT DR ES,E,KI-5,Y-R tr 4,,833,136,142,141,138,138,138,,,,,,,,,440,393,0,142,33,44,0,46,568,0.0%,17.0%,4.0%,5.3%,0.0%,5.5%,68.2%,43,5.2%,7,0.8%,39,4.7%,NO,96.0,HE,Hgh,Yes,Southern Wake,Susan Evans,Western Area,Jacqueline Ellis,Cary,CARY,38,833,14,609,701,116.5%,9,830,24.9%,100.4%
446,HODGE RD ES,E,KI-5,Y-R,,607,100,114,112,74,101,106,,,,,,,,,329,278,0,11,159,373,0,16,48,0.0%,1.8%,26.2%,61.4%,0.0%,2.6%,7.9%,502,82.7%,92,15.2%,251,41.4%,YES,64.1,Pro,Exp,No,East Raleigh,Keith Sutton,Eastern Area,Danny Barnes,Knightdale,KNIGHTDALE,36,607,(147),682,797,93.4%,5,650,17.7%,93.4%
457,HOLLY GROVE ES,E,KI-5,Y-R,,"1,081",186,186,182,171,194,162,,,,,,,,,562,519,1,17,109,75,0,42,837,0.1%,1.6%,10.1%,6.9%,0.0%,3.9%,77.4%,158,14.6%,10,0.9%,19,1.8%,NO,88.6,Dst,Hgh,Yes,Southern Wake,Susan Evans,Southern Area,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,46,"1,081",26,963,963,109.3%,3,"1,058",6.5%,102.2%
449,HOLLY RIDGE ES,E,KI-5,T,,832,138,135,137,140,142,140,,,,,,,,,410,422,1,24,129,97,0,31,550,0.1%,2.9%,15.5%,11.7%,0.0%,3.7%,66.1%,233,28.0%,30,3.6%,56,6.7%,NO,84.9,Dst,Hgh,Yes,Southern Wake,Susan Evans,Southern Area,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,36,832,14,563,655,124.4%,8,761,24.2%,109.3%
447,HOLLY SPRINGS ES,E,KI-5,Y-R,,"1,014",169,181,165,188,155,156,,,,,,,,,515,499,2,31,135,60,3,37,746,0.2%,3.1%,13.3%,5.9%,0.3%,3.6%,73.6%,140,13.8%,10,1.0%,27,2.7%,NO,88.1,Dst,Hgh,Yes,Southern Wake,Susan Evans,Southern Area,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,36,"1,014",(41),682,843,126.4%,16,"1,009",36.5%,100.5%
448,HUNTER ES,E,KI-5,T,Gifted & Talented/AG Basics,705,124,112,118,114,117,120,,,,,,,,,359,346,0,62,337,68,1,24,213,0.0%,8.8%,47.8%,9.6%,0.1%,3.4%,30.2%,333,47.2%,24,3.4%,47,6.7%,YES,69.7,Pro,Hgh,No,East Raleigh,Keith Sutton,Central Area,Rose Anne Gonzalez,Raleigh,RALEIGH,39,705,(37),546,569,132.5%,6,647,21.3%,109.0%
